username,main_category,subcategory,text_hook,length,views,likes,comments,shares,outlier_multiplier,uploaded_at,ad_link,caption,platform
mondly.app,Education,Language Learning,"{""code"":5009,""error"":""fail to make process filters""}",49,130400,20900,447,1566,4.673835125,2023-05-17,https://www.tiktok.com/@mondly.app/video/7234163457464012074,How do you laugh through texting in your language? 🙏 #mondly #comedy #bilingual #languagetok ,tiktok
teuidaapp,Education,Language Learning,"In Korea, you don't say, ""sorry I don't speak Korean""",14,130200,6667,183,263,7.076086957,2022-03-16,https://www.tiktok.com/@teuidaapp/video/7075666425301536002,"I used to say ""mhm"" all the time when I couldn't speak English lol what do u say in your country?😏 #korean #korea #learnontiktok",tiktok
plantinapp,Education,None,There is no text or emojis in this image.,17,129400,429,4,20,138.3957219,2022-08-19,https://www.tiktok.com/@plantinapp/video/7133525623913417990,№1 identificador de plantas,tiktok
insidr.ai,Education,AI Study Tools,Best AI Tools For Productivity Save for later  Build a website in 30sec Durable.co  Best AI Tools For Productivity  AI writing tool Scalenut  Supercharge your business with AI Insidr.ai,5,129300,1171,6,133,93.69565217,2023-09-10,https://www.tiktok.com/@insidr.ai/video/7277081810973084960,Best AI Tools for productivity 🙋🏼 Insidr.ai - supercharge your business with AI 🦸🏼 #durableai #tldv #kurbyai #insidrai #aiproductivity #aibusiness ,tiktok
busuu,Education,Language Learning,Instead of... Very ugly Say... Hideous,11,129300,5274,15,124,12.96630566,2024-04-28,https://www.tiktok.com/@busuu/video/7362939299030928673,Why say two words when one will do? ➡️ Use these words if you want to sound native in #English 🇬🇧 #english #learnenglish #englishlearning #englishteacher #englishlesson #languagelearning ,tiktok
baimly.app,Education,Exam Preparation,"9- сыныптар : ГОС, колледжбен басы қатып жүр.. 11- сыныптар : ҮБТ-ға дайындалып елгелі жүр.. Тем временем 10 сыныптар:",7,129200,13100,171,3601,191.8337045,2024-11-04,https://www.tiktok.com/@baimly.app/video/7433438934648016135,"10- сыныптар , қазірден дайындықты бізбен бастап кетіңідер 😌😌",tiktok
mondly.app,Education,Language Learning,We use “could” in semi-formal situations.,27,128900,10900,39,221,4.620071685,2020-12-15,https://www.tiktok.com/@mondly.app/video/6906485703077530885,When to use: Can / Could / May 📚 #edutok #edutokenglish #grammar #learnenglish #learnontiktok #lernenmittiktok #invatapetiktok #howto,tiktok
chegg,Education,Study Aids & Flashcards,Let's cover some true or false questions about Air Quality Standards!,65,128800,640,5,5,1.664082687,2023-09-28,https://www.tiktok.com/@chegg/video/7283894178319207710,A breath of fresh air 💨 #LearnWithChegg #EduTok #STEM #airquality #engineering,tiktok
insidr.ai,Education,AI Study Tools,Personal AI-Business Assistant,58,128600,545,1,19,93.1884058,2023-06-19,https://www.tiktok.com/@insidr.ai/video/7246352638143434011,"Meetcody.ai - AI-assistant like chatGPT, trained on your business🔥 Insidr.ai - find the best AI Tools to supercharge your business 🦸🏼 #aibusiness #aitool #aiforbusiness #aiwebsite #artificialintelligence #business #businesshacks ",tiktok
fluentjoy_english,Education,Language Learning,Student My name is Alex,16,128400,5433,23,192,8.075471698,2024-10-26,https://www.tiktok.com/@fluentjoy_english/video/7429251464968588562,Speak like a native! #learnenglish with #fluentjoy. #englishlesson #aprenderingles #inglesfacil #anglaisfacile #英語フレーズ #ภาษาอังกฤษวันละคํา #tienganh,tiktok
lingodeer.app,Education,Language Learning,Language Challenge,20,128300,9305,51,45,1.938066465,2021-05-18,https://www.tiktok.com/@lingodeer.app/video/6963462531708882181,How do you call these chains in your language? #languages #fypシ #foryou,tiktok
mondly.app,Education,Language Learning,"in, on, at plsss",13,128100,2869,21,43,4.591397849,2020-12-25,https://www.tiktok.com/@mondly.app/video/6910110975014227205,Reply to @asthaerielle What would you like to learn next? #grammar #learnenglish #learnontiktok #invatapetiktok #lernenmittiktok,tiktok
solvo.app,Education,AI Study Tools,Now I definitely won't forget to charge my phone before class!,6,128100,3595,2,72,91.63090129,2024-09-17,https://www.tiktok.com/@solvo.app/video/7415609156310289694,New iOS 18 🌪️ #ios18 #apple #ios #fyp #relatable ,tiktok
mondly.app,Education,Language Learning,Learn Swedish Easily  Hej - Hello Snälla - Please Tack - Thank you Varsågod - You're welcome Ursäkta mig - Excuse me Förlåt - I'm sorry Hejdå - Goodbye,14,127900,4221,52,132,4.584229391,2021-09-24,https://www.tiktok.com/@mondly.app/video/7011495917610208518,Thinking of learning Swedish? You can start by learning the basic manners! 🎩 #swedish #learnswedish #swedishlessons #learnontiktok,tiktok
quizlet,Education,Study Aids & Flashcards,my boss: of course you can decorate your de—  me:,6,127800,9517,167,130,5.68,2023-07-26,https://www.tiktok.com/@quizlet/video/7260120366205373739,@QuizletBoss may rue the day 🤪 #fyp #desksetup #ducktok #pedrotokforever #quizlet #foryou ,tiktok
fluenday.japan,Education,Language Learning,英語フレーズ What's up? [ワッツ・アップ] (何かあった? /どうしたの?)  ※英会話習得法はInstagramとTwitterで無料解説（プロフへ）  What's up?,10,127300,1767,12,42,4.389655172,2022-04-19,https://www.tiktok.com/@fluenday.japan/video/7088181695572102401,What's up guys？#英語フレーズ #英語 #おすすめのりたい #海外映画 #TikTok教室 #英会話 #英語話せるようになりたい,tiktok
plantinapp,Education,None,There is no text in this image.,20,127100,167,4,13,135.9358289,2022-08-19,https://www.tiktok.com/@plantinapp/video/7133525039604960518,№1 identificador de plantas,tiktok
lingodeer.app,Education,Language Learning,Language Challenge,24,126400,14300,71,103,1.909365559,2021-06-04,https://www.tiktok.com/@lingodeer.app/video/6969748873132788998,We do love our chocolates 🥰 #Japanese #Chinese #Chinese,tiktok
youlearn.ai,Education,Study Aids & Flashcards,He living in 2050 😭,21,126000,2221,3,99,35.61334087,2024-12-29,https://www.tiktok.com/@youlearn.ai/video/7453974651258096939,this is AMAZING #study #studytok ,tiktok
baimly.app,Education,Exam Preparation,Baimly @baimly.app,21,125900,401,0,3,186.9339272,2024-09-24,https://www.tiktok.com/@baimly.app/video/7418132342939602181,"""Подробнее"" батырмасын тезірек басып, сұрақтарыңа жауап ал",tiktok
lingodeer.app,Education,Language Learning,Language Challenge,26,125900,12600,58,100,1.901812689,2021-05-24,https://www.tiktok.com/@lingodeer.app/video/6965669729415613701,anime names part 2 #fyp #anime #Chinese #Korean #Japanese,tiktok
boldvoiceapp,Education,Language Learning,There's one amazing accent training app that helped me improve my english,56,125700,699,18,40,48.66434379,2022-03-26,https://www.tiktok.com/@boldvoiceapp/video/7079071271472090414,We make English pronunciation easy-peasy 🇺🇸 #english #learnenglish   #learnontiktok #fyp #eng,tiktok
chegg,Education,Study Aids & Flashcards,Water Supply and Treatment: True or False Quiz,57,125600,490,2,11,1.622739018,2023-10-26,https://www.tiktok.com/@chegg/video/7294330805072006431,Quench your curiosity 🚰✌️ #LearnWithChegg #EduTok #STEM #engineering,tiktok
uknow.ai_official,Education,AI Study Tools,"POV: Homework got you down bad? Nah, boss up, bruh!",14,125100,311,4,9,973.540856,2024-11-26,https://www.tiktok.com/@uknow.ai_official/video/7441518778002951470,Own the Semester 2024 - your AI tutor awaits!,tiktok
picsolve,Education,AI Study Tools,POV: Your assignment is due in 2 min.,7,124900,6082,17,49,17.9273719,2023-01-29,https://www.tiktok.com/@picsolve/video/7193875179645226286,Picsolve to the rescue #studious ,tiktok
chegg,Education,Study Aids & Flashcards,"get access to unadvertised,",62,124700,832,5,2,1.611111111,2024-01-03,https://www.tiktok.com/@chegg/video/7319905828616686890,"New Year, New Network 🤝 😎 #LearnWithChegg #EduTok #studenthelp #studytips ",tiktok
lingodeer.app,Education,Language Learning,Language Challenge games,18,124700,11000,125,86,1.883685801,2021-10-22,https://www.tiktok.com/@lingodeer.app/video/7021857056990743814,Which one is your favorite game?🤗🤗🤗#chinese #japanese #Korean #fyp #minecraft #leagueoflegends #counterstrike,tiktok
lingodeer.app,Education,Language Learning,Oldest countries:,11,124600,10400,259,48,1.882175227,2021-10-11,https://www.tiktok.com/@lingodeer.app/video/7017640847927790853,How old is your country?🧐🧐🧐#Chinese #japanese #Korean #fyp #country #iraq #egypt #china,tiktok
chegg,Education,Study Aids & Flashcards,Earth’s Magnetic Field,53,124300,721,9,7,1.605943152,2023-09-27,https://www.tiktok.com/@chegg/video/7283512094765370670,Mother earth's magnetic field 🌎 #LearnWithChegg #learnontiktok #EduTok #STEM #physics ,tiktok
mondly.app,Education,Language Learning,On time / in time / just in time,34,124300,2992,18,88,4.455197133,2021-01-05,https://www.tiktok.com/@mondly.app/video/6914281750306802949,Hope your 2021 will be much better than 2020! #grammar #edutoklanguage #learninglanguages #learnontiktok #invatapetiktok #lernenmittiktok,tiktok
insidr.ai,Education,AI Study Tools,This website Has 200+ AI Tools,23,123900,2607,7,1168,89.7826087,2023-03-08,https://www.tiktok.com/@insidr.ai/video/7208120484876160261,Link to all AI Tools in BIO 🙋🏼 Insidr.ai 👉🏻 200+ AI Tools⚒️ #aitools #findaitools #aiforbusiness #artificialintelligence #aiwebsite #bestaitools #bestaiwebsite ,tiktok
fluenday.japan,Education,Language Learning,英語フレーズ So what? [ソー・ワット] だから何？、どうでもいいじゃん！ ※英会話習得法はInstagramとTwitterで無料解説（プロフへ）  So what?,8,123800,3511,28,47,4.268965517,2022-04-25,https://www.tiktok.com/@fluenday.japan/video/7090452151436332290,So what? #英語フレーズ #英語 #おすすめのりたい #海外映画 #TikTok教室 #英会話 #英語話せるようになりたい,tiktok
joinhandshake,Education,Professional Development,When someone asks me if I’m done applying to internships,6,123200,504,1,1,130.9245484,2022-08-10,https://www.tiktok.com/@joinhandshake/video/7130363266559413550,"Don’t give up besties! The job search journey can be difficult, but all it takes is one ☝️ #internshipopportunities #internshiptips #jobsearchtips #joinhandshake",tiktok
fluentjoy_english,Education,Language Learning,Immediate family  Father Mother Son Daughter,25,122600,1188,15,46,7.710691824,2024-05-30,https://www.tiktok.com/@fluentjoy_english/video/7372022508670684433,Immediate vs Extended family! #learnenglish with #fluentjoy. #englishlesson #aprenderingles #inglesfacil #anglaisfacile #inglesfluente #ingleseperitaliani #英語フレーズ #ภาษาอังกฤษวันละคํา #tiengan,tiktok
quizlet,Education,Study Aids & Flashcards,When my professor asks why I didn’t hand in my assignment on time,9,122500,10900,113,197,5.444444444,2023-02-06,https://www.tiktok.com/@quizlet/video/7197155444798950702,"Dw, we made an examiety resource guide with the @jedfoundation 💙 #linkinbio #fyp #fypシ #anxiety #depression #ihavethisthing #mentalhealth #mentalhealthmatters ",tiktok
masterclass,Education,Virtual Classrooms,"Getting ready for work after the holidays  But just to go back to this again,",29,122300,4199,116,209,5.472035794,2025-01-06,https://www.tiktok.com/@masterclass/video/7456891138344160558,How do you put on your shoes? There’s a right answer #mindykaling #sockshoes #newyear #worklife ,tiktok
kilonotesapp,Education,Study Aids & Flashcards,Handwriting to Text Hack on Samsung Tablet Best digital notes app android,28,122300,3931,40,109,12.42633611,2024-05-04,https://www.tiktok.com/@kilonotesapp/video/7365147502443515144,This #samsungtablet hack is the MOST USEFUL feature on #Kilonotes 😍 Messy handwriting? No problem! #digitalnotes #notetaking #notetakingapp #digitaljournal #digitalplanning #digitalplanner #galaxytabs8 #samsunggalaxy #samsungtablet #digitalnotes #androidapp #studyhacks #studytips ,tiktok
chegg,Education,Study Aids & Flashcards,MAKE KEEP GROW  In order to make,56,122200,178,2,9,1.57881137,2024-07-29,https://www.tiktok.com/@chegg/video/7397060867042413867,Secure that bag 👏💰 @Krystal 🇧🇿  #business #lessonplan #explainer #edutok,tiktok
plantinapp,Education,None,Sugar is a green flag,35,122000,229,3,27,130.4812834,2024-12-30,https://www.tiktok.com/@plantinapp/video/7454178823311985925,Become a Plant Pro easily! ,tiktok
chegg,Education,Study Aids & Flashcards,when the school year just started but you're struggling to find useful college study tools,7,122000,1279,25,16,1.57622739,2023-09-05,https://www.tiktok.com/@chegg/video/7275344742072716586,Never back down never WHAT 😤‼️🔥#LearnWithChegg #EduTok #studytools #neverbackdownnevergiveup #homeworkhelp ,tiktok
chegg,Education,Study Aids & Flashcards,5 time management tips for college students  No. 1 make sure to keep track of any deadlines or exams in multiple locations,51,121900,213,2,15,1.574935401,2024-01-31,https://www.tiktok.com/@chegg/video/7330375489850215711,5 steps to success 🪜⭐️ #LearnWithChegg #collegelife #freshmanyear #freshmancollege #studytips ,tiktok
chegg,Education,Study Aids & Flashcards,Galaxy Components True or False? but true or false,50,121900,199,9,3,1.574935401,2023-10-12,https://www.tiktok.com/@chegg/video/7289151577707859243,Up your galaxy game 🌌💫 #LearnWithChegg #EduTok #STEM #physics #galaxy #astrophysics ,tiktok
ar.drawing.sketch,Education,Arts & Creativity Learning,There is no text in the image.,19,121800,1034,28,71,15.67265007,2023-06-02,https://www.tiktok.com/@ar.drawing.sketch/video/7239915022133005611,"App for iOS: ""AR Drawing"" #pencildrawing #wowdraw #lifehack",tiktok
quizlet,Education,Study Aids & Flashcards,make a quizlet set about pedro pascal 🧐 What is Pascal's full name?,11,121700,4822,146,222,5.408888889,2023-02-22,https://www.tiktok.com/@quizlet/video/7202782794282470702,Replying to @aitoybs Link is in our bio bestie 💙 #greenscreenvideo #fyp #pedropascal #quizlet #studywithme #pedropascalsimp #foryou ,tiktok
quizlet,Education,Study Aids & Flashcards,I JUST WANNA SEE MY BABIES,,121600,23500,465,380,5.404444444,2023-11-27,https://www.tiktok.com/@quizlet/photo/7306274092993334574,we all know who mariah was talking about 😍 #fyp #mariahcarey #alliwantforchristmas #pedropascal #oscarisaac #joshhutcherson #quizlet ,tiktok
chegg,Education,Study Aids & Flashcards,Electrical Power every electrical device that you use,36,121500,183,9,13,1.569767442,2023-09-29,https://www.tiktok.com/@chegg/video/7284314609379724590,All the power to you 🔌⚡️ #LearnWithChegg #EduTok #STEM #physics #learnontiktok ,tiktok
mondly.app,Education,Language Learning,"could you do a video about the use of ""for"" and ""to"" please? i'd be so thankful😊",13,121400,2568,16,34,4.35125448,2020-12-28,https://www.tiktok.com/@mondly.app/video/6911093965823495429,"Reply to @themde If you didn’t know, now you know 😊 #grammar #learningisfun #english #learnontiktok #invatapetiktok #lernenmittiktok #edutok",tiktok
masterclass,Education,Virtual Classrooms,"Teaching ""Off"" With Brandon McMillan  I'm going to hold him.  Reply to Debbie Swanson's comment Thank u so much I tried it and it really works !!",53,121300,5638,24,893,5.427293065,2024-08-02,https://www.tiktok.com/@masterclass/video/7398302493706423582,Replying to @Debbie Swanson @Brandon McMillan’s penny bottle trick also works to teach your pup the “off” command 🐶  #dogsoftiktok #dogs #doggo ,tiktok
fluenday.japan,Education,Language Learning,ブラッドピットの 目線に惚れる  ※英会話習得法はアプリ内で解説（プロフへ）  FluenDay,53,121300,3492,10,28,4.182758621,2023-07-15,https://www.tiktok.com/@fluenday.japan/video/7255552213286784274,ブラッドピッドの目線に惚れる #おすすめ #tiktok教室 #英語 #英語の勉強 #英会話 #FluenDay #海外 #海外旅行 #海外生活 #海外留学,tiktok
mondly.app,Education,Language Learning,Language Differences,40,121200,789,31,30,4.344086022,2024-11-28,https://www.tiktok.com/@mondly.app/video/7442339346348379434,The bird that sparked an international naming feud. 🦃😭 #mondly #thanksgiving #turkey #comedy #languages #fy ,tiktok
fluenday.japan,Education,Language Learning,英語フレーズ How's it going. [ハウズ・イット・ゴーイング] (調子はどう) ※英会話習得法はインスタフランで無料解説（プロフへ）  How's it going.,9,121200,2542,29,55,4.179310345,2022-04-18,https://www.tiktok.com/@fluenday.japan/video/7087814967990242562,How's it going. 月曜日の気分はどう？#英語フレーズ #英語 #おすすめのりたい #海外映画 #英会話 #英語話せるようになりたい #月曜日,tiktok
mondly.app,Education,Language Learning,DOUGH COUGH TOUGH FOUGHT THROUGH,12,121100,6043,13,189,4.340501792,2020-10-14,https://www.tiktok.com/@mondly.app/video/6883496869775871237,@hartyt_ is right 😂 Sometimes English can get pretty weird #learnontiktok #invatapetiktok #leeroptiktok #lernenmittiktok #englishlearning,tiktok
curiosityquench,Education,Coding Education,people with these hobbies have main character energy,5,121100,7254,26,628,44.26978615,2024-10-13,https://www.tiktok.com/@curiosityquench/video/7425248378805554437,"get your main character energy by taking action on YOUR hobbies using our app ""Curiosity Quench"" #hobbies #aura #poker #physics #philsophy #math #trending #viral #foryou",tiktok
teuidaapp,Education,Language Learning,Slangs,36,121100,9266,30,352,6.581521739,2024-09-24,https://www.tiktok.com/@teuidaapp/video/7418010630327733505,Korean vs English slangs #learnkorean #슬랭모음 ,tiktok
chegg,Education,Study Aids & Flashcards,College Icks 1. Homework done at home 2. Essays and endless rules 3. Studying without help  college icks and in no particular order,54,120900,295,2,2,1.562015504,2023-10-06,https://www.tiktok.com/@chegg/video/7286846799346765087,Ick or treat 🧐👀🎃 #LearnWithChegg #EduTok #collegelife #collegetips #AI ,tiktok
insidr.ai,Education,AI Study Tools,Extremely Useful AI Tools  Save for later  Extremely Useful AI Tools  Find the best AI Tools,5,120700,830,2,16,87.46376812,2023-06-08,https://www.tiktok.com/@insidr.ai/video/7242209361483828506,Extremely useful AI Tools 🕺🏼 Insidr.ai - find the best AI tools to supercharge your business 🦸🏼 #usefulaitools #usefulaiwebsite #aisoftware #aiwebsite #bestaitools ,tiktok
fluentjoy_english,Education,Language Learning,"Don't always say ""I'm sad!"" Try these alternatives instead",16,120600,5617,15,352,7.58490566,2024-07-31,https://www.tiktok.com/@fluentjoy_english/video/7395535196323335440,"Don't always say ""I'm sad""! #learnenglish with #fluentjoy. #englishlesson  #inglesfacil #anglaisfacile #英語フレーズ #ภาษาอังกฤษวันละคํา #tienganh",tiktok
baimly.app,Education,Exam Preparation,УБТ-дан 49 балл алганда,11,120500,6410,190,2390,178.9161099,2024-07-24,https://www.tiktok.com/@baimly.app/video/7394869160146160902,"🤣🤣🤣🤣 аз балл жинасаң, газель сені күтіп тұр 😂 #ент #ұбт #baimly #бэймли ",tiktok
mondly.app,Education,Language Learning,"{""code"":5009,""error"":""fail to make process filters""}",45,120200,12700,278,504,4.308243728,2023-06-19,https://www.tiktok.com/@mondly.app/video/7246412992382782763,It’s even crazier in Japanese 🫣 learn how to say it with Mondly. #mondly #languagetok #languagesproblems #ananas ,tiktok
mondly.app,Education,Language Learning,Wish vs hope,18,120100,2596,20,53,4.304659498,2020-12-27,https://www.tiktok.com/@mondly.app/video/6910866180643261701,Can you tell the difference between the two? #learnenglish #edutokenglish #didyouknow #learnontiktok #invatapetiktok #lernenmittiktok #leeroptiktok,tiktok
lingodeer.app,Education,Language Learning,Language Challenge,20,119800,6543,95,41,1.809667674,2021-04-16,https://www.tiktok.com/@lingodeer.app/video/6951416733764734213,#coffee #languages #accent #fyp #foryou #edutok,tiktok
quizlet,Education,Study Aids & Flashcards,"""When you try to use chatgpt to rewrite a sentence to make you sound smarter""",6,119600,3476,21,85,5.315555556,2023-10-25,https://www.tiktok.com/@quizlet/video/7293667052508745006,Giving word vomit #foryou #quizlet #collegelife #chatgpt ,tiktok
fluentjoy_english,Education,Language Learning,How are you? Sunshine all day long 🌞💪,11,119600,4679,10,367,7.522012579,2024-10-09,https://www.tiktok.com/@fluentjoy_english/video/7421492372023954696,How to reply to How are you? #learnenglish with #fluentjoy. #englishlesson #aprenderingles #inglesfacil #anglaisfacile #英語フレーズ #ภาษาอังกฤษวันละคํา #tienganh,tiktok
fluentjoy_english,Education,Language Learning,Feet,20,119300,2242,17,72,7.503144654,2024-05-27,https://www.tiktok.com/@fluentjoy_english/video/7372017197373279504,Do you know these Homophones?#learnenglish with #fluentjoy. #englishlesson #aprenderingles #inglesfacil #anglaisfacile #inglesfluente #ingleseperitaliani #英語フレーズ #ภาษาอังกฤษวันละคํ #tiengan,tiktok
joinhandshake,Education,Professional Development,"First, finish college",5,119100,665,1,9,126.5674814,2022-07-19,https://www.tiktok.com/@joinhandshake/video/7122185131632102698,🔥 Hot take 🔥 You don’t have to wait until graduation to start your job hunt! Are you planning ahead? 🧐 #JoinHandshake #jobsearch #careeradvice #jobapplication #finishcollege,tiktok
skolar.gpt,Education,AI Study Tools,LITERATURE REVIEW TRICK THAT CHANGED MY LIFE,16,118600,4462,27,954,4.962343096,2024-11-10,https://www.tiktok.com/@skolar.gpt/video/7435625187480964372,Having this is such a cheat code😭 #literaturereview #thesis #dissertation #researchpaper #phd ,tiktok
teuidaapp,Education,Language Learning,GREAT,39,118300,10200,20,91,6.429347826,2023-08-08,https://www.tiktok.com/@teuidaapp/video/7264864392259325186,"Learn Korean consonant ""ㄱ"" with Yeji  #korean #koreanlanguage #koreanconsonants #koreanvowels #teuida #language #speak",tiktok
gauthofficial,Education,AI Study Tools,POV: you just found the best AI-powered study app to help you get A's 👀,15,118300,8559,20,106,14.05572388,2024-02-20,https://www.tiktok.com/@gauthofficial/video/7337798316459166977,now you don’t want your grades to be red like those strawberries now do you 🤨 (free download in bio) #studytok #aitool #homeworkhelp #college #highschool #productivity #viral #studentlife ,tiktok
lingodeer.app,Education,Language Learning,(Cantonese) Accent Challenge,33,118100,7460,147,99,1.783987915,2021-03-17,https://www.tiktok.com/@lingodeer.app/video/6940445166348094725,Accent Challenge  ✨Chinese vs Cantonese vs Japanese vs Korean✨#accentchallenge #chinese #cantonese #japanese #korean #fyp #language #funny #comedy,tiktok
fluentjoy_app,Education,Language Learning,I'm pretty good,19,118000,3709,16,327,14.75645595,2024-10-04,https://www.tiktok.com/@fluentjoy_app/video/7418841266248584480,"Alternative ways to say ""I'm fine"" at work! Learn #businessenglish with #fluentjoy. #englishlesson #aprenderingles #inglesfacil #anglaisfacile #inglesfluente #英語フレーズ #ภาษาอังกฤษวันละคํา #tienganh",tiktok
masterclass,Education,Virtual Classrooms,we have to adhere to every aspect  Confessions from Former CIA Officers 👀,32,118000,5555,767,198,5.279642058,2024-10-18,https://www.tiktok.com/@masterclass/video/7426814990188875050,the real spill from former CIA officers on what’s behind the curtain 🧐 #CIA #spy #spies #secret ,tiktok
insidr.ai,Education,AI Study Tools,AI Tools You Should Be Using,47,117800,491,3,41,85.36231884,2023-05-01,https://www.tiktok.com/@insidr.ai/video/7228118059322494235,TinyEinstein.ai 👉🏻 Supercharge your email marketing with AI🦸🏼 Insidr.ai 👉🏻 Find the best AI Tools to supercharge your business 🕺🏼 #aitools #aiecommerce #aiemailmarketing #aiforbusiness #aiwebsite @tinyeinstein ,tiktok
chegg,Education,Study Aids & Flashcards,finals are upon us,35,117700,298,6,5,1.520671835,2024-05-16,https://www.tiktok.com/@chegg/video/7369600684028693803,Activate your superpowers 🔑 @Sam Ellis Academy #chegg #cheggproduct,tiktok
quizlet,Education,Study Aids & Flashcards,"3,393 comments  Quizlet teach us your ways 😓  secret brittany · Creator Can I have a year of quizlet free for my Spanish lessons  Quizlet > secret brittany sending you a DM 😊💙",,117400,25700,71,293,5.217777778,2024-04-06,https://www.tiktok.com/@quizlet/photo/7354800042110176555,ofc the queen would never leave us on read 🥹 #fyp #broskination #brittanybroski #thebroskireport #quizlet ,tiktok
baimly.app,Education,Exam Preparation,"Когда маньяк хочет тебя убить, а у тебя скоро январский ЕНТ",6,117400,17200,38,5423,174.3132888,2024-11-28,https://www.tiktok.com/@baimly.app/video/7442348433354149175,,tiktok
masterclass,Education,Virtual Classrooms,there's something kind of specific  Writing to Camera Movements with Jodie Foster 🎥,24,117300,3302,81,67,5.248322148,2024-09-21,https://www.tiktok.com/@masterclass/video/7416805095339330847,"Take note: when writing to camera movements, dont forget your glasses 🤓 #jodiefoster #film #filmmaker #writer ",tiktok
mondly.app,Education,Language Learning,"Common English mistakes  ""I don't know NOTHING about Australia!""",14,117200,4968,33,52,4.200716846,2020-11-18,https://www.tiktok.com/@mondly.app/video/6896510098160553222,Have you made this mistake before? #learnontiktok #lernenmittiktok #invatapetiktok #leeroptiktok #learnenglish #grammar,tiktok
chegg,Education,Study Aids & Flashcards,Graduating during a recession  oh yeah everybody's worried about going out,63,117100,525,7,5,1.512919897,2023-10-11,https://www.tiktok.com/@chegg/video/7288765055145954602,Recession ready 🧑‍🎓✍️ #LearnWithChegg #EduTok #collegelife #studenttips #backtoschool ,tiktok
fluentjoy_app,Education,Language Learning,"I think maybe we should Moving forward, the expectation is",16,117100,5242,13,416,14.64390671,2024-04-27,https://www.tiktok.com/@fluentjoy_app/video/7361607126290074913,Speak like a leader! Learn #businessenglish with #fluentjoy. #englishlesson #aprenderingles  #inglesfacil #anglaisfacile #inglesfluente #ingleseperitaliani #英語フレーズ #ภาษาอังกฤษวันละคํา #tiengan,tiktok
mondly.app,Education,Language Learning,Whenever,19,117100,1818,7,56,4.197132616,2021-01-18,https://www.tiktok.com/@mondly.app/video/6919061805855706373,Whenever / Whatever / Wherever / Whoever 📚 #learnontiktok #lernenmittiktok #leeroptiktok #invatapetiktok #education #learn #educación #learningisfun,tiktok
babbel,Education,Language Learning,Danish vs. Swedish Body Swedish Danish,34,116800,2005,67,113,7.735099338,2024-12-24,https://www.tiktok.com/@babbel/video/7452010278746590510,Let’s get physical: Danish 🇩🇰 vs. Swedish 🇸🇪 body parts vocabulary! #danishvsswedish #danish #swedish #learndanish #learnswedish #danishlanguage #swedishlanguage ,tiktok
teuidaapp,Education,Language Learning,I know I'm flexing 😑  You're doing it the opposite...,32,116700,7061,16,4,6.342391304,2024-01-07,https://www.tiktok.com/@teuidaapp/video/7321507891993709825,Did he do well?😭😅😁 (he learned them in the plane back home) #korean #learnkorean #koreanlanguage #korea,tiktok
mondly.app,Education,Language Learning,POV: Bilinguals trying to remember words,37,116200,14300,123,1725,4.164874552,2024-05-23,https://www.tiktok.com/@mondly.app/video/7372195956286131498,It’s a real struggle 🥹#bilingualproblems #mondly #languagelearning #languagetok #bilingual ,tiktok
socratia.app,Education,Language Learning,La baguette The baguette,79,116100,6846,45,889,4.340186916,2024-05-30,https://www.tiktok.com/@socratia.app/video/7374743412970360096,#learnfrench  #frenchlanguage  #learningfrench  #learnfrenchwithme  #studyfrench  #frenchlearning #learnfrenchonline ,tiktok
teuidaapp,Education,Language Learning,Most popular Korean name in 2022 (boys ver.),17,116100,5095,62,41,6.309782609,2022-03-06,https://www.tiktok.com/@teuidaapp/video/7071955923241078018,"If you can have a Korean name, what would it be?🤭 #korean #name #korea #fyp #kpop",tiktok
plantinapp,Education,None,The image does not contain any text or emojis.,56,116100,57,4,13,124.171123,2024-12-19,https://www.tiktok.com/@plantinapp/video/7450172431777467653,Become a Plant Pro easily with PlantIn!,tiktok
fluentjoy_app,Education,Language Learning,Greeting Hello or Hi,31,116000,3386,3,121,14.50634653,2024-06-25,https://www.tiktok.com/@fluentjoy_app/video/7382412528674000161,How to introduce yourself? Learn #businessenglish with #fluentjoy. #englishlesson #aprenderingles #inglesfacil #anglaisfacile #inglesfluente #ingleseperitaliani #英語フレーズ #ภาษาอังกฤษวันละคํา #tiengan,tiktok
fluenday.japan,Education,Language Learning,英語フレーズ Shut up! [シャラップ] (黙れ / まじで? ) ※英会話習得法はInstagramとTwitterで無料解説（プロフへ）  Shut up!,12,115900,2796,24,34,3.996551724,2022-04-22,https://www.tiktok.com/@fluenday.japan/video/7089339294288022785,Shut up! #英語 #英語フレーズ #おすすめのりたい #海外映画 #TikTok教室 #英会話 #英会話フレーズ #英会話初心者#英語話せるようになりたい,tiktok
busuu,Education,Language Learning,in bio,8,115800,15200,122,176,11.61251504,2024-05-19,https://www.tiktok.com/@busuu/video/7370012166419647777,"🤭🎁 Serving discounts...  Come one, you know where the 🔗 is! #languagelearning#languagelearningtips #busuu #lol",tiktok
teuidaapp,Education,Language Learning,Language Challenge,26,115800,10900,379,220,6.293478261,2022-04-12,https://www.tiktok.com/@teuidaapp/video/7085624076823235842,Failure in Chinese sounds like something else in Korean😂 #iykyk #korean #learnontiktok #korea #learnkorean #chinese,tiktok
